date	phot_tot	phos_storm	solids_tot	solids_storm
10/1/1991	5.36	5.36	0.03	0.03
10/2/1991	5.53	5.36	0.04	0.03
10/3/1991	5.53	5.36	0.04	0.03
10/4/1991	12	12	0.25	0.25
10/5/1991	27	12	0.7	0.25
10/6/1991	15	12	0.32	0.25
10/7/1991	6.21	5.6	0.04	0.04
10/8/1991	5.74	5.6	0.04	0.04
10/9/1991	5.6	5.6	0.04	0.04
10/10/1991	5.17	5.17	0.04	0.04
10/11/1991	5.27	5.17	0.04	0.04
10/12/1991	5.17	5.17	0.04	0.04
10/13/1991	5.03	5.03	0.03	0.03
10/14/1991	5.21	5.03	0.04	0.03
10/15/1991	5.32	5.03	0.04	0.03
10/16/1991	4.99	4.74	0.04	0.03
10/17/1991	4.89	4.74	0.03	0.03
10/18/1991	4.74	4.74	0.03	0.03
10/19/1991	4.63	4.63	0.03	0.03
10/20/1991	4.71	4.63	0.03	0.03
10/21/1991	4.89	4.63	0.04	0.03
10/22/1991	4.89	4.76	0.04	0.04
10/23/1991	4.76	4.76	0.04	0.04
10/24/1991	6.6	4.76	0.11	0.04
10/25/1991	19	10	0.42	0.19
10/26/1991	14	10	0.3	0.19
10/27/1991	10	10	0.19	0.19
10/28/1991	5.82	5.43	0.04	0.04
10/29/1991	7.23	5.43	0.06	0.04
10/30/1991	5.43	5.43	0.04	0.04
10/31/1991	4.77	4.77	0.04	0.04
11/1/1991	166.2	4.77	6.08	0.04
11/2/1991	31.73	4.77	1.08	0.04
11/3/1991	4.15	2.82	0.12	0.09
11/4/1991	2.92	2.82	0.09	0.09
11/5/1991	2.82	2.82	0.09	0.09
11/6/1991	2.82	2.72	0.09	0.09
11/7/1991	2.82	2.72	0.09	0.09
11/8/1991	2.72	2.72	0.09	0.09
11/9/1991	2.72	2.72	0.09	0.09
11/10/1991	2.72	2.72	0.09	0.09
11/11/1991	2.72	2.72	0.09	0.09
11/12/1991	2.83	2.83	0.09	0.09
11/13/1991	3.01	2.83	0.09	0.09
11/14/1991	6.6	2.83	0.11	0.09
11/15/1991	12	3.78	0.25	0.11
11/16/1991	3.81	3.78	0.12	0.11
11/17/1991	3.78	3.78	0.11	0.11
11/18/1991	69	12	2.3	0.25
11/19/1991	22	12	0.52	0.25
11/20/1991	12	12	0.25	0.25
11/21/1991	4.33	4.07	0.13	0.12
11/22/1991	4.07	4.07	0.12	0.12
11/23/1991	4.86	4.07	0.14	0.12
11/24/1991	5.05	4.57	0.14	0.13
11/25/1991	4.67	4.57	0.13	0.13
11/26/1991	4.57	4.57	0.13	0.13
11/27/1991	4.57	4.57	0.13	0.13
11/28/1991	4.86	4.57	0.13	0.13
11/29/1991	34	4.57	1.3	0.13
11/30/1991	143	52	12.2	2.5
12/1/1991	131	52	10.7	2.5
12/2/1991	52	52	2.5	2.5
12/3/1991	21.52	9.55	0.92	0.2
12/4/1991	9.55	9.55	0.2	0.2
12/5/1991	9.55	9.55	0.2	0.2
12/6/1991	9.91	9.91	0.22	0.22
12/7/1991	11.02	9.91	0.25	0.22
12/8/1991	13.59	9.91	0.32	0.22
12/9/1991	11.38	9.86	0.28	0.24
12/10/1991	9.91	9.86	0.25	0.24
12/11/1991	9.86	9.86	0.24	0.24
12/12/1991	79	10.28	4.8	0.25
12/13/1991	53	10.28	2.6	0.25
12/14/1991	10.28	10.28	0.25	0.25
12/15/1991	9.55	8.26	0.23	0.2
12/16/1991	8.81	8.26	0.21	0.2
12/17/1991	8.26	8.26	0.2	0.2
12/18/1991	8.26	7.34	0.2	0.17
12/19/1991	7.71	7.34	0.18	0.17
12/20/1991	7.34	7.34	0.17	0.17
12/21/1991	6.98	6.79	0.16	0.16
12/22/1991	6.79	6.79	0.16	0.16
12/23/1991	6.79	6.79	0.16	0.16
12/24/1991	6.79	6.61	0.15	0.15
12/25/1991	6.61	6.61	0.15	0.15
12/26/1991	6.61	6.61	0.15	0.15
12/27/1991	6.79	6.79	0.15	0.15
12/28/1991	7.07	6.79	0.16	0.15
12/29/1991	7.07	6.79	0.15	0.15
12/30/1991	6.6	6.41	0.14	0.14
12/31/1991	6.41	6.41	0.14	0.14
1/1/1992	6.41	6.41	0.14	0.14
